Species,Group,DT max - TADL,Mc (kg),logMC,FE max,Prey E  (kJ),logPreyE,PreyE x FE max,log of that1,Feed cost (kJ),F cost X FEmax,log of that,Dive costs (kJ),All costs,log of that2,Eff_max,Rel Effmax,logEff_max 0.75
Balaenoptera_musculus,Rorqual,-11.82,93000,4.968482949,5,393960,5.595452129,1969800,6.294422133,10083.66,50418.30746,4.702588262,22116,72535,5,20.22839088,21.22839088,1.33
Balaenoptera_physalus,Rorqual,-14.41,53000,4.72427587,6,379965.6,5.57974428,2279793.6,6.35789553,2832.20,16993.17379,4.230274499,10235,27228,4,57.15705965,58.15705965,1.76
Megaptera_novaeangliae,Rorqual,-12.57,36000,4.556302501,7,181190.172,5.258134637,1268331.204,6.103232677,1561.63,10931.42991,4.038676975,5455,16387,4,55.32368233,56.32368233,1.75
Balaenoptera_bonaerensis,Rorqual,-3.87,6700,3.826074803,12.5,1227.44,3.089000272,15343,4.185910285,306.09,3826.073875,3.582753351,1536,5362,4,1.882482286,2.882482286,0.46
Physeter_macrocephalus,Odontocete,23.67,21500,4.33243846,18.75,2650,3.423245874,49687.5,4.696247146,714.64,13399.40713,4.127085583,31077,44476,5,0.744006073,1.744006073,0.24
Berardius_bairdii,Odontocete,52.18,11900,4.075546961,41,1531.678644,3.185167657,62798.82442,4.797951514,53.03,2174.393771,3.337338195,36696,38870,5,0.800120811,1.800120811,0.26
Orcinus_orca,Odontocete,-4.61,3000,3.477121255,7.5,3111.327,3.492945658,23334.9525,4.368006921,195.60,1467.036025,3.166440779,1175,2642,3,5.003218173,6.003218173,0.78
Ziphius_cavirostris,Odontocete,61.04,2900,3.462397998,42,474.32,2.676071437,19921.44,4.299320728,41.09,1725.775729,3.236984357,12132,13858,4,0.205005471,1.205005471,0.08
Globicephala_melas,Odontocete,1.29,1200,3.079181246,14,601.5,2.779235632,8421,3.925363667,8.11,113.5458592,2.055171301,1134,1247,3,1.230531156,2.230531156,0.35
Globicephala_macrorhynchus,Odontocete,4.45,980,2.991226076,5.5,601.5,2.779235632,3308.25,3.519598321,54.31,298.6786788,2.475204222,1155,1453,3,1.359820922,2.359820922,0.37
Mesoplodon_densirostris,Odontocete,37.90,860,2.934498451,34,206.597337,2.315124719,7024.309458,3.846603636,1.44,48.81448214,1.688548686,3330,3378,4,0.370545761,1.370545761,0.14
Grampus_griseus,Odontocete,-2.81,350,2.544068044,7,276.81,2.442181238,1937.667602,3.287279278,1.10,7.717937147,0.887501237,202,210,2,2.82,3.822109796,0.58
Phocoena_phocoena,Odontocete,-2.27,33,1.51851394,17,10.54,1.022960611,179.229516,2.253409532,0.30,5.033220999,0.701846,12,17,1,3.139134245,4.139134245,0.62